utm_source,utm_medium,utm_campaign,utm_content,visit_date,UV,purchase_1d,purchase_3d,purchase_7d,cvr_1d,cvr_3d,cvr_7d,결제금액_1d,결제품목_1d,결제금액_3d,결제품목_3d,결제금액_7d,결제품목_7d,결제금액_total_1d,결제품목_total_1d,purchase_total_1d,결제금액_total_3d,결제품목_total_3d,purchase_total_3d,결제금액_total_7d,결제품목_total_7d,purchase_total_7d,UV_total,날짜_dt
youtube,video,influencer,joetube,2026-06-02,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-06-02
youtube,video,influencer,joetube,2026-06-01,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-06-01
web_page,content,2606_blog,260601_detail_page,2026-06-01,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,2,2026-06-01
youtube,video,influencer,sunjamom,2026-06-01,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-06-01
kakao,text,2602_kakao,chat_menu,2026-06-01,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-06-01
naver,text,26_naver,260408_blog_phase1,2026-06-01,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,99,2026-06-01
kakao,content,2604_kakao,260421_kakao_profile,2026-06-01,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-06-01
kakao,text,chatroom,menu_gongjindan,2026-06-01,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-06-01
naver,instant,naver_kin_source,kin,2026-06-01,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,21,2026-06-01
kakao,text,2605_kakao,260529_kakao_cta,2026-05-31,6,2,2,2,33.33,33.33,33.33,961000,"녹용경옥고 (2), 총명공진단 (1)",961000,"녹용경옥고 (2), 총명공진단 (1)",961000,"녹용경옥고 (2), 총명공진단 (1)",961000,"녹용경옥고 (2), 총명공진단 (1)",2,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,44,2026-05-31
kakao,content,2604_kakao,260421_kakao_profile,2026-05-31,5,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-31
kakao,text,2602_kakao,chat_menu,2026-05-31,4,1,1,1,25.0,25.0,25.0,585000,녹용경옥고 (1),585000,녹용경옥고 (1),585000,녹용경옥고 (1),1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-31
youtube,video,influencer,sunjamom,2026-05-31,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-31
kakao,text,chatroom,menu_kyungokgo,2026-05-31,3,2,2,2,66.67,66.67,66.67,1171000,녹용경옥고 (3),1171000,녹용경옥고 (3),1171000,녹용경옥고 (3),18049000,녹용경옥고 (3),13,18509000,녹용경옥고 (3),15,19260000,녹용경옥고 (3),15,846,2026-05-31
youtube,video,influencer,kimjebeop,2026-05-31,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,465000,-,0,465000,-,0,465000,-,0,2187,2026-05-31
blog,text,2605_naver,260429_blog,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,360000,-,1,360000,-,1,360000,-,1,67,2026-05-31
localplay,free,chuseok,kyungheeshu,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,25000,-,1,25000,-,1,25000,-,1,28,2026-05-31
kakao,text,chatroom,menu_gongjindan,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-31
naver,text,2603_new-semester,260310_blog,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,13,2026-05-31
youtube,video,influencer,joetube,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,76485000,-,6,96851000,-,10,108051000,-,11,48285,2026-05-31
kakao,text,welcomemsg,homepage,2026-05-31,1,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-31
kakao,text,2605_kakao,260529_kakao_cta,2026-05-30,7,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,961000,"녹용경옥고 (2), 총명공진단 (1)",2,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,1922000,"녹용경옥고 (2), 총명공진단 (1)",4,44,2026-05-30
kakao,text,chatroom,menu_gongjindan,2026-05-30,5,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,30489000,-,14,31462000,-,14,38776000,-,19,1060,2026-05-30
kakao,text,2602_kakao,chat_menu,2026-05-30,4,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,1097000,-,2,1097000,-,2,1097000,-,2,230,2026-05-30
kakao,text,welcomemsg,homepage,2026-05-30,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,34195000,-,11,45942000,-,15,52068000,-,19,798,2026-05-30
kakao,content,2604_kakao,260421_kakao_profile,2026-05-30,3,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,0,-,0,0,-,0,0,-,0,92,2026-05-30
youtube,video,influencer,sunjamom,2026-05-30,2,0,0,0,0.0,0.0,0.0,0,-,0,-,0,-,6217000,-,0,7006000,-,1,8501000,-,2,7669,2026-05-30
